School Year,School Code,Organization,Assessment Name,ContentArea,Grade,PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
2015,621,F. Niel Postlethwait Middle School,Smarter Balanced Summative Assessment,ELA,7th Grade,66.91,2583.27,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
2015,621,F. Niel Postlethwait Middle School,Smarter Balanced Summative Assessment,ELA,8th Grade,61.9,2594.95,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
2015,621,F. Niel Postlethwait Middle School,Smarter Balanced Summative Assessment,ELA,All Students,60.24,,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
2015,621,F. Niel Postlethwait Middle School,Smarter Balanced Summative Assessment,MATH,6th Grade,39.54,2527.1,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
2015,621,F. Niel Postlethwait Middle School,Smarter Balanced Summative Assessment,MATH,7th Grade,50.72,2563.27,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
2015,621,F. Niel Postlethwait Middle School,Smarter Balanced Summative Assessment,MATH,8th Grade,44.22,2568.89,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
2015,621,F. Niel Postlethwait Middle School,Smarter Balanced Summative Assessment,MATH,All Students,44.91,,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
2015,622,W. Reily Brown Elementary School,Smarter Balanced Summative Assessment,ELA,3rd Grade,50.55,2423.58,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
2015,622,W. Reily Brown Elementary School,Smarter Balanced Summative Assessment,ELA,4th Grade,38.96,2440.81,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
2015,622,W. Reily Brown Elementary School,Smarter Balanced Summative Assessment,ELA,5th Grade,50.54,2502.71,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
2015,622,W. Reily Brown Elementary School,Smarter Balanced Summative Assessment,ELA,All Students,47.13,,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
2015,622,W. Reily Brown Elementary School,Smarter Balanced Summative Assessment,MATH,3rd Grade,53.85,2432.31,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
2015,622,W. Reily Brown Elementary School,Smarter Balanced Summative Assessment,MATH,4th Grade,35.06,2449.05,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
2015,622,W. Reily Brown Elementary School,Smarter Balanced Summative Assessment,MATH,5th Grade,32.26,2478.92,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
2015,622,W. Reily Brown Elementary School,Smarter Balanced Summative Assessment,MATH,All Students,40.61,,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
2015,625,Fred Fifer III Middle School,Smarter Balanced Summative Assessment,ELA,6th Grade,59.93,2545.47,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428571,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
2015,625,Fred Fifer III Middle School,Smarter Balanced Summative Assessment,ELA,7th Grade,54.01,2555.1,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428571,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
2015,625,Fred Fifer III Middle School,Smarter Balanced Summative Assessment,ELA,8th Grade,58.33,2577.57,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428571,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
2015,625,Fred Fifer III Middle School,Smarter Balanced Summative Assessment,ELA,All Students,57.58,,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428571,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
2015,625,Fred Fifer III Middle School,Smarter Balanced Summative Assessment,MATH,6th Grade,38.97,2521.03,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428571,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
2015,625,Fred Fifer III Middle School,Smarter Balanced Summative Assessment,MATH,7th Grade,34.33,2529.11,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428571,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
2015,625,Fred Fifer III Middle School,Smarter Balanced Summative Assessment,MATH,8th Grade,37.68,2555.68,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428571,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
2015,625,Fred Fifer III Middle School,Smarter Balanced Summative Assessment,MATH,All Students,37.13,,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428571,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
2015,626,Caesar Rodney High School,Smarter Balanced Summative Assessment,ELA,11th Grade,55.24,2589.87,2011.0,18.117117117117118,83.79166666666667,2011.0,,,,,,,143.64285714285714,2011.0,,,251.375,,105.84210526315789,,,,2011.0,,1005.5,2011.0,251.375,1005.5,,2011.0,402.2,402.2,2011.0,,,,
2015,626,Caesar Rodney High School,Smarter Balanced Summative Assessment,ELA,All Students,55.24,,2011.0,18.117117117117118,83.79166666666667,2011.0,,,,,,,143.64285714285714,2011.0,,,251.375,,105.84210526315789,,,,2011.0,,1005.5,2011.0,251.375,1005.5,,2011.0,402.2,402.2,2011.0,,,,
2015,626,Caesar Rodney High School,Smarter Balanced Summative Assessment,MATH,11th Grade,26.73,2557.35,2011.0,18.117117117117118,83.79166666666667,2011.0,,,,,,,143.64285714285714,2011.0,,,251.375,,105.84210526315789,,,,2011.0,,1005.5,2011.0,251.375,1005.5,,2011.0,402.2,402.2,2011.0,,,,
2015,626,Caesar Rodney High School,Smarter Balanced Summative Assessment,MATH,All Students,26.73,,2011.0,18.117117117117118,83.79166666666667,2011.0,,,,,,,143.64285714285714,2011.0,,,251.375,,105.84210526315789,,,,2011.0,,1005.5,2011.0,251.375,1005.5,,2011.0,402.2,402.2,2011.0,,,,
2015,628,Dover Air Force Base Middle School,Smarter Balanced Summative Assessment,ELA,6th Grade,78.21,2582.6,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
2015,628,Dover Air Force Base Middle School,Smarter Balanced Summative Assessment,ELA,7th Grade,83.33,2612.21,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
