PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
38.1,,539.0,16.84375,179.66666666666666,,,,,,,,134.75,539.0,,,269.5,,67.375,,,,,,269.5,,134.75,539.0,,539.0,539.0,539.0,539.0,,,,
44.44,,405.0,16.2,202.5,,,,,,,,101.25,,,,202.5,,101.25,,,,,405.0,,,,405.0,,405.0,405.0,,405.0,,,,
73.09,,1105.0,21.25,110.5,,,,,,,,157.85714285714286,,,,368.3333333333333,,157.85714285714286,,,,1105.0,1105.0,552.5,,368.3333333333333,552.5,,1105.0,552.5,552.5,1105.0,,,,
38.21,,577.0,18.03125,115.4,,,,,,,,144.25,,,,288.5,,96.16666666666669,,,,,577.0,,,577.0,577.0,,577.0,577.0,577.0,577.0,577.0,,,
13.36,,529.0,14.694444444444445,75.57142857142857,,,,,,,,88.16666666666667,529.0,,,176.33333333333334,,66.125,529.0,,,529.0,,105.8,264.5,132.25,529.0,,529.0,529.0,264.5,529.0,,,,
87.5,,702.0,17.55,702.0,,,,,702.0,,,140.4,,,,351.0,,140.4,,,,,702.0,702.0,,234.0,702.0,,702.0,702.0,702.0,702.0,,,,
13.98,,533.0,20.5,76.14285714285714,,,,,,,,88.83333333333333,,,,266.5,,106.6,,,,533.0,,266.5,266.5,,533.0,,533.0,533.0,266.5,533.0,533.0,,,
49.01,,841.0,21.56410256410257,120.14285714285714,,,,,,841.0,,120.14285714285714,841.0,,,420.5,,168.2,,,,,841.0,420.5,420.5,168.2,841.0,,841.0,841.0,420.5,841.0,,,,
57.67,,874.0,23.0,124.85714285714286,,,,,,,,174.8,,,,437.0,,124.85714285714286,,,,874.0,,874.0,437.0,437.0,874.0,,874.0,437.0,437.0,874.0,,,,
18.16,,616.0,19.870967741935484,77.0,,,,,,,,102.66666666666669,616.0,,,308.0,,77.0,,,,,,616.0,616.0,616.0,616.0,,616.0,308.0,308.0,616.0,,,,
54.89,,1215.0,21.31578947368421,303.75,,,,,,1215.0,,135.0,,,,405.0,,121.5,,,,1215.0,,,1215.0,1215.0,1215.0,,1215.0,405.0,607.5,1215.0,,,,
79.35,,935.0,20.32608695652174,935.0,,,,,935.0,,,93.5,467.5,,,311.6666666666667,,71.92307692307692,,,,935.0,,,935.0,467.5,935.0,,935.0,467.5,467.5,935.0,,,,
39.73,,702.0,18.0,117.0,,,,,,,,78.0,702.0,,,234.0,,100.28571428571428,,,,702.0,,351.0,351.0,175.5,702.0,,702.0,702.0,351.0,702.0,702.0,234.0,,
39.19,,1108.0,18.779661016949152,138.5,,,,,,,,110.8,1108.0,,,369.3333333333333,,92.33333333333331,,,,1108.0,,1108.0,,554.0,1108.0,,1108.0,277.0,369.3333333333333,1108.0,,,,
25.34,,796.0,16.583333333333332,88.44444444444444,,,,,,796.0,,88.44444444444444,796.0,,,265.3333333333333,,88.44444444444444,,,,796.0,,398.0,796.0,265.3333333333333,796.0,,796.0,199.0,265.3333333333333,796.0,,,,
97.54,,972.0,19.058823529411764,,,972.0,,,,486.0,,,,324.0,,243.0,972.0,,,,,,,,972.0,,972.0,,,194.4,,,243.0,972.0,,
53.97,,569.0,23.70833333333333,,,,569.0,,,,,189.66666666666663,,284.5,,569.0,,569.0,,,,,,71.125,,,569.0,,569.0,,569.0,,,63.22222222222222,,
43.38,,321.0,17.833333333333332,107.0,321.0,,,,,,,107.0,,,,321.0,,80.25,,,,,,321.0,,160.5,321.0,,321.0,,,321.0,,,,
70.63,,681.0,18.916666666666668,136.2,,,,,,,,170.25,681.0,,,340.5,,85.125,,,,,681.0,681.0,681.0,227.0,340.5,,681.0,,681.0,681.0,340.5,,,
48.0,,430.0,17.916666666666668,86.0,430.0,,,,,,,143.33333333333334,,,,430.0,,143.33333333333334,,,,,,430.0,,143.33333333333334,430.0,,430.0,,,430.0,,,,
70.71,,474.0,18.23076923076923,237.0,,,,,,,,158.0,,,,474.0,,158.0,,,,,,474.0,474.0,474.0,474.0,,474.0,,,474.0,158.0,,,
54.82,,517.0,17.82758620689655,172.33333333333334,,,,,,,,172.33333333333334,,,,258.5,,172.33333333333334,,,,258.5,,517.0,517.0,172.33333333333334,517.0,,517.0,,517.0,517.0,103.4,,,
47.98,,673.0,19.228571428571428,74.77777777777777,,,,,,,,168.25,,,,336.5,,224.33333333333331,,,,673.0,673.0,673.0,673.0,673.0,673.0,,673.0,,673.0,673.0,,,,
45.39,,584.0,22.46153846153846,53.09090909090909,,,,,,,,194.66666666666663,,,,292.0,,146.0,,,,584.0,,584.0,584.0,83.42857142857143,292.0,,584.0,,584.0,584.0,,,,
50.56,,446.0,19.39130434782609,63.71428571428572,,,,,,,,148.66666666666666,,,,446.0,,148.66666666666666,,,,446.0,446.0,,446.0,63.71428571428572,446.0,,446.0,,,446.0,446.0,,,
33.18,,457.0,19.041666666666668,65.28571428571429,457.0,,,,,,,152.33333333333334,,,,457.0,,91.4,,,,457.0,,457.0,457.0,114.25,457.0,,457.0,,,457.0,152.33333333333334,,,
19.66,,725.0,19.594594594594597,145.0,,,,,,,,145.0,,,,362.5,,120.83333333333331,,,,725.0,,362.5,725.0,241.66666666666663,362.5,,725.0,,725.0,,,,,
45.55,,564.0,20.142857142857142,94.0,,,,,,,,188.0,,,,282.0,,112.8,,,,,,564.0,564.0,282.0,564.0,,564.0,,,564.0,564.0,,,
64.43,,368.0,16.727272727272727,122.66666666666669,,,,,,,,122.66666666666669,,,,368.0,,122.66666666666669,,,,368.0,,,368.0,52.57142857142857,,,368.0,,,368.0,368.0,,,
49.14,,450.0,14.0625,90.0,,,,,,,,150.0,,,,450.0,,112.5,,,,450.0,,450.0,450.0,112.5,450.0,,450.0,,450.0,,450.0,,,
43.82,,590.0,25.65217391304348,49.16666666666666,,,,,,,,147.5,,,,295.0,,118.0,,,,590.0,590.0,590.0,590.0,49.16666666666666,295.0,,590.0,,590.0,590.0,196.66666666666663,,,
11.04,,401.0,16.04,30.846153846153847,200.5,,,,,,,66.83333333333333,200.5,,,401.0,,44.55555555555556,,,,401.0,,401.0,401.0,21.105263157894736,401.0,,401.0,,401.0,,,,,
9.32,,467.0,23.35,46.7,467.0,,,,,,,58.375,233.5,,,233.5,,51.888888888888886,,,,,,233.5,233.5,116.75,467.0,,467.0,155.66666666666666,467.0,467.0,467.0,155.66666666666666,,
12.6,,257.0,17.133333333333333,42.833333333333336,,,,,,,,128.5,,,,257.0,,128.5,,,,128.5,257.0,,,36.71428571428572,257.0,,257.0,,,257.0,128.5,,,
24.62,,425.0,17.0,70.83333333333333,,,,,,,,141.66666666666666,,,,425.0,,106.25,,,,425.0,,425.0,425.0,106.25,425.0,,425.0,,425.0,425.0,425.0,425.0,,
8.06,,311.0,16.36842105263158,155.5,,,,,,,,103.66666666666669,,,,311.0,,107.24137931034484,,,,311.0,,,,77.75,311.0,,311.0,,311.0,,155.5,,,
24.44,,1210.0,22.83018867924528,60.5,403.3333333333333,,,,,,,121.0,605.0,,,403.3333333333333,,80.66666666666667,,605.0,,1210.0,1210.0,605.0,605.0,172.85714285714286,605.0,,1210.0,403.3333333333333,605.0,1210.0,605.0,1210.0,,
35.61,,823.0,24.939393939393938,63.30769230769231,823.0,,,,,,,117.57142857142856,823.0,,,411.5,,82.3,,411.5,,,,411.5,274.3333333333333,164.6,411.5,,823.0,411.5,823.0,823.0,411.5,,,
36.76,,995.0,20.729166666666668,66.33333333333333,,,,,,,,124.375,995.0,,,331.6666666666667,,90.45454545454544,,995.0,,995.0,,331.6666666666667,331.6666666666667,124.375,497.5,,995.0,497.5,497.5,995.0,497.5,995.0,,
